Transaction_ID,Date,Customer_Name,Email,Phone_Number,Address,Credit_Card,Category,Amount,Payment_Method
TXN-10022,2025-10-04,Robert Smith,robert.smith85@gmail.com,555-646-9007,"255 Broadway, Chicago, USA",4988-5826-3499-5485,Automotive,1382.33,Debit Card
TXN-10023,2025-09-19,Linda Johnson,linda.johnson3@yahoo.com,555-208-9918,"948 Broadway, Los Angeles, USA",4540-8992-2685-4616,Automotive,627.89,PayPal
TXN-10024,2025-03-24,David Martinez,david.martinez96@company.net,555-601-6588,"631 Broadway, New York, USA",4871-2019-1942-8392,Home & Garden,1183.57,Bank Transfer
TXN-10025,2025-04-22,Linda Williams,linda.williams46@yahoo.com,555-969-1966,"411 Pine St, Chicago, USA",4058-5003-3335-6506,Books,670.53,PayPal
TXN-10026,2025-03-24,Laura Martinez,laura.martinez65@company.net,555-104-5963,"213 Park Ave, Houston, USA",4922-4865-9490-1209,Books,1474.71,Debit Card
TXN-10027,2025-07-29,David Jones,david.jones71@gmail.com,555-404-3839,"368 Broadway, Houston, USA",4938-7409-6104-2692,Books,1349.03,Debit Card
TXN-10028,2025-03-29,Jane Miller,jane.miller76@company.net,555-513-5987,"525 Park Ave, Houston, USA",4567-8225-8556-5069,Books,934.29,Bank Transfer
TXN-10029,2025-02-10,John Rodriguez,john.rodriguez46@yahoo.com,555-725-4845,"48 Oak Ln, Los Angeles, USA",4277-2444-5446-3660,Fashion,869.7,PayPal
TXN-10030,2025-08-11,David Brown,david.brown71@hotmail.com,555-172-4188,"991 Park Ave, Chicago, USA",4023-1602-1713-1969,Automotive,1126.59,Debit Card
TXN-10031,2025-08-30,Linda Garcia,linda.garcia14@company.net,555-485-7757,"101 Cedar Dr, New York, USA",4738-8674-4771-3773,Automotive,316.3,PayPal
TXN-10032,2025-06-28,David Smith,david.smith24@company.net,555-510-8713,"921 Park Ave, New York, USA",4319-7328-1053-7599,Electronics,1338.09,Debit Card
TXN-10033,2025-08-23,Michael Miller,michael.miller74@gmail.com,555-181-2058,"976 Pine St, Houston, USA",4588-6186-2548-4148,Sports,30.34,Bank Transfer
TXN-10034,2025-04-07,Linda Davis,linda.davis54@yahoo.com,555-623-9682,"367 Broadway, Chicago, USA",4685-2813-9974-2409,Fashion,119.96,PayPal
TXN-10035,2025-01-25,John Brown,john.brown68@company.net,555-957-5323,"446 Main St, New York, USA",4849-6036-6005-2415,Sports,239.79,PayPal
TXN-10036,2025-05-12,Michael Martinez,michael.martinez61@hotmail.com,555-168-4900,"818 Broadway, Los Angeles, USA",4945-1947-9189-7069,Sports,1256.67,PayPal
TXN-10037,2025-07-11,Daniel Johnson,daniel.johnson77@hotmail.com,555-336-6441,"159 Park Ave, Chicago, USA",4012-3128-2893-2655,Automotive,1385.22,Bank Transfer
TXN-10038,2025-12-12,Michael Rodriguez,michael.rodriguez43@gmail.com,555-423-5090,"740 Cedar Dr, New York, USA",4480-8922-1286-4043,Sports,286.91,Credit Card
TXN-10039,2025-12-01,Linda Smith,linda.smith91@gmail.com,555-948-4215,"314 Broadway, Phoenix, USA",4758-5674-9360-4557,Toys & Games,694.89,Credit Card
TXN-10040,2025-08-15,Robert Johnson,robert.johnson34@hotmail.com,555-510-9181,"146 Cedar Dr, Houston, USA",4447-8447-7853-9195,Electronics,325.6,Bank Transfer
TXN-10041,2025-05-26,Sarah Smith,sarah.smith88@hotmail.com,555-237-2045,"271 Park Ave, New York, USA",4037-4661-4916-6968,Fashion,1191.97,Debit Card
TXN-10042,2025-07-28,Emily Rodriguez,emily.rodriguez68@gmail.com,555-481-1087,"74 Pine St, Chicago, USA",4357-6005-1897-3711,Electronics,1150.32,Bank Transfer
TXN-10043,2025-09-29,Michael Johnson,michael.johnson44@yahoo.com,555-979-3872,"466 Park Ave, Los Angeles, USA",4592-1948-7013-5051,Automotive,626.03,Credit Card
TXN-10044,2025-01-31,John Johnson,john.johnson45@hotmail.com,555-776-6112,"849 Cedar Dr, Phoenix, USA",4122-4223-4121-3825,Fashion,707.66,PayPal
TXN-10045,2025-11-13,Sarah Garcia,sarah.garcia40@yahoo.com,555-853-6157,"98 Cedar Dr, Houston, USA",4207-6481-4254-8613,Automotive,481.92,Debit Card
TXN-10046,2025-06-03,Jane Garcia,jane.garcia37@company.net,555-627-8587,"159 Pine St, Chicago, USA",4129-1367-7663-1635,Home & Garden,126.43,PayPal
TXN-10047,2025-10-17,Daniel Davis,daniel.davis2@hotmail.com,555-403-1584,"441 Main St, New York, USA",4698-3715-5034-9074,Automotive,918.7,Debit Card
TXN-10048,2025-11-01,Michael Garcia,michael.garcia73@hotmail.com,555-454-7265,"948 Oak Ln, Chicago, USA",4405-3887-9950-3294,Books,139.63,Bank Transfer
TXN-10049,2025-05-31,Linda Smith,linda.smith54@gmail.com,555-981-3979,"456 Cedar Dr, New York, USA",4783-8743-4622-1779,Books,360.43,Bank Transfer
TXN-10050,2025-09-14,Emily Williams,emily.williams19@company.net,555-449-5038,"702 Main St, Houston, USA",4447-2959-9210-3481,Books,1230.48,Credit Card
TXN-10051,2025-07-01,David Jones,david.jones37@gmail.com,555-935-5366,"961 Park Ave, New York, USA",4714-7899-3259-8009,Sports,1016.2,Credit Card
TXN-10052,2025-07-14,Jane Davis,jane.davis4@hotmail.com,555-616-4510,"316 Oak Ln, Phoenix, USA",4753-3460-1597-6185,Electronics,389.73,Bank Transfer
TXN-10053,2025-04-27,Jane Smith,jane.smith2@yahoo.com,555-423-6612,"261 Main St, Phoenix, USA",4355-9481-5922-8044,Electronics,29.99,Bank Transfer
TXN-10054,2025-08-29,Daniel Rodriguez,daniel.rodriguez99@hotmail.com,555-650-8201,"602 Broadway, New York, USA",4827-7138-5096-8326,Home & Garden,450.04,Bank Transfer
TXN-10055,2025-01-24,John Garcia,john.garcia73@yahoo.com,555-689-8141,"693 Broadway, Chicago, USA",4806-3184-4117-2849,Fashion,1106.7,Debit Card
TXN-10056,2025-09-12,Laura Rodriguez,laura.rodriguez73@company.net,555-522-3060,"184 Broadway, New York, USA",4743-5510-2663-6687,Books,1397.47,Bank Transfer
TXN-10057,2025-01-11,Daniel Davis,daniel.davis87@company.net,555-205-2671,"958 Main St, Chicago, USA",4001-6854-3192-6496,Fashion,163.37,Credit Card
TXN-10058,2025-11-13,David Garcia,david.garcia85@hotmail.com,555-994-2232,"566 Oak Ln, Houston, USA",4373-7641-3987-4275,Toys & Games,35.37,PayPal
TXN-10059,2025-01-08,John Brown,john.brown91@yahoo.com,555-465-4500,"778 Oak Ln, Chicago, USA",4423-5137-1851-2221,Fashion,913.3,Credit Card
TXN-10060,2025-01-31,Sarah Garcia,sarah.garcia86@yahoo.com,555-730-1134,"127 Pine St, Houston, USA",4468-2686-8342-9066,Automotive,119.86,Debit Card
TXN-10061,2025-07-10,Emily Brown,emily.brown68@yahoo.com,555-957-6976,"988 Main St, Phoenix, USA",4553-5045-3609-7010,Home & Garden,610.11,PayPal
TXN-10062,2025-02-02,David Davis,david.davis9@hotmail.com,555-534-7096,"92 Cedar Dr, Los Angeles, USA",4669-6543-6610-5430,Toys & Games,468.25,Credit Card
TXN-10063,2025-05-30,Michael Brown,michael.brown56@gmail.com,555-241-1495,"50 Park Ave, Chicago, USA",4504-7307-6721-4457,Sports,720.16,PayPal
TXN-10064,2025-11-07,Daniel Rodriguez,daniel.rodriguez9@company.net,555-689-8643,"927 Cedar Dr, Houston, USA",4498-7332-1511-6298,Toys & Games,112.32,Credit Card
TXN-10065,2025-05-14,Daniel Brown,daniel.brown21@company.net,555-322-6462,"339 Oak Ln, Houston, USA",4028-5115-5993-4226,Toys & Games,244.19,Debit Card
TXN-10066,2025-06-08,Linda Garcia,linda.garcia97@yahoo.com,555-963-4313,"424 Broadway, New York, USA",4237-9240-9044-3082,Books,785.01,Credit Card
TXN-10067,2025-11-29,Sarah Rodriguez,sarah.rodriguez23@hotmail.com,555-666-7364,"966 Cedar Dr, New York, USA",4528-4060-4887-3054,Toys & Games,1370.92,PayPal
TXN-10068,2025-05-16,Laura Brown,laura.brown92@hotmail.com,555-571-4361,"592 Cedar Dr, Los Angeles, USA",4055-4387-1656-4298,Electronics,644.27,Bank Transfer
TXN-10069,2025-12-02,Laura Johnson,laura.johnson46@hotmail.com,555-937-4774,"263 Cedar Dr, Houston, USA",4048-3392-8106-4227,Home & Garden,1005.77,Bank Transfer
TXN-10070,2025-02-08,Daniel Williams,daniel.williams51@company.net,555-795-5820,"940 Park Ave, Los Angeles, USA",4208-7518-3986-8684,Electronics,1299.93,Debit Card
TXN-10071,2025-08-26,David Williams,david.williams73@company.net,555-990-6715,"321 Oak Ln, Chicago, USA",4857-3571-4457-7009,Home & Garden,1140.2,Debit Card
TXN-10072,2025-11-05,Linda Brown,linda.brown74@gmail.com,555-533-3419,"109 Main St, Houston, USA",4414-3540-5937-5844,Toys & Games,867.81,Bank Transfer
TXN-10073,2025-10-23,David Miller,david.miller99@company.net,555-221-6132,"235 Broadway, Phoenix, USA",4786-8538-6995-4190,Books,1256.81,Credit Card
TXN-10074,2025-02-28,Daniel Miller,daniel.miller32@hotmail.com,555-879-5370,"872 Park Ave, Phoenix, USA",4909-8087-8876-8935,Sports,492.13,PayPal
TXN-10075,2025-04-14,Emily Martinez,emily.martinez12@gmail.com,555-257-1652,"47 Cedar Dr, Phoenix, USA",4477-4322-4595-6264,Electronics,1310.89,Credit Card
TXN-10076,2025-04-14,Laura Davis,laura.davis45@hotmail.com,555-131-6430,"320 Oak Ln, Houston, USA",4041-1461-2155-8314,Home & Garden,1075.83,Credit Card
TXN-10077,2025-09-07,Laura Rodriguez,laura.rodriguez84@gmail.com,555-675-4882,"606 Pine St, Chicago, USA",4817-9844-2112-3560,Electronics,229.98,PayPal
TXN-10078,2025-12-21,Sarah Miller,sarah.miller82@company.net,555-359-4149,"637 Main St, Los Angeles, USA",4332-7885-2341-8653,Home & Garden,92.27,Credit Card
TXN-10079,2025-01-22,Emily Jones,emily.jones31@hotmail.com,555-925-9376,"279 Broadway, Phoenix, USA",4543-6353-1979-4925,Electronics,866.0,Debit Card
TXN-10080,2025-02-28,Michael Jones,michael.jones20@company.net,555-498-8194,"997 Park Ave, New York, USA",4463-6708-7732-4407,Sports,979.76,PayPal
TXN-10081,2025-02-25,Emily Martinez,emily.martinez85@company.net,555-862-5208,"855 Pine St, Houston, USA",4580-1752-6536-7872,Sports,1195.62,Bank Transfer
TXN-10082,2025-09-06,Laura Garcia,laura.garcia88@hotmail.com,555-882-2193,"873 Pine St, Houston, USA",4811-3149-7076-2272,Books,330.72,Bank Transfer
TXN-10083,2025-09-23,Laura Jones,laura.jones88@yahoo.com,555-178-8430,"405 Main St, Los Angeles, USA",4440-9785-8468-2257,Electronics,1198.86,Bank Transfer
TXN-10084,2025-05-22,Jane Brown,jane.brown6@yahoo.com,555-276-5528,"630 Main St, Los Angeles, USA",4555-8590-7490-7486,Toys & Games,535.66,PayPal
TXN-10085,2025-09-15,Michael Davis,michael.davis98@company.net,555-116-6570,"372 Main St, New York, USA",4678-6022-3727-4732,Toys & Games,222.43,Debit Card
TXN-10086,2025-04-19,David Williams,david.williams47@company.net,555-813-9071,"535 Pine St, Los Angeles, USA",4838-4278-4329-8824,Electronics,1260.52,Credit Card
TXN-10087,2025-12-02,Emily Williams,emily.williams97@yahoo.com,555-328-7484,"589 Broadway, Chicago, USA",4704-1809-2202-1705,Sports,1080.0,PayPal
TXN-10088,2025-05-10,Linda Martinez,linda.martinez70@hotmail.com,555-264-6564,"888 Oak Ln, Phoenix, USA",4844-6982-2339-6446,Electronics,1470.51,Debit Card
TXN-10089,2025-07-05,David Smith,david.smith45@gmail.com,555-232-9193,"425 Cedar Dr, Los Angeles, USA",4278-3809-1205-2539,Automotive,1298.17,PayPal
TXN-10090,2025-08-11,Emily Miller,emily.miller92@gmail.com,555-528-2508,"528 Cedar Dr, Chicago, USA",4557-5157-2950-3799,Home & Garden,1478.67,PayPal
TXN-10091,2025-10-16,Sarah Martinez,sarah.martinez4@company.net,555-245-3104,"126 Main St, Phoenix, USA",4306-6234-8482-1478,Automotive,1482.05,PayPal
TXN-10092,2025-12-31,Sarah Williams,sarah.williams28@company.net,555-376-6842,"429 Cedar Dr, New York, USA",4960-6485-1817-6957,Electronics,1311.69,PayPal
TXN-10093,2025-04-21,Emily Miller,emily.miller66@yahoo.com,555-878-5197,"175 Pine St, Los Angeles, USA",4091-2016-8431-8190,Books,1437.69,Debit Card
TXN-10094,2025-10-13,Laura Rodriguez,laura.rodriguez58@hotmail.com,555-476-1962,"258 Broadway, New York, USA",4480-7076-8787-6332,Sports,1118.18,Debit Card
TXN-10095,2025-06-07,Emily Smith,emily.smith21@gmail.com,555-985-2129,"311 Park Ave, New York, USA",4416-8511-7756-7294,Books,708.78,Debit Card
TXN-10096,2025-03-30,Robert Johnson,robert.johnson23@hotmail.com,555-586-3700,"685 Pine St, New York, USA",4880-4740-7715-2903,Automotive,1302.15,Bank Transfer
TXN-10097,2025-07-31,John Rodriguez,john.rodriguez69@yahoo.com,555-466-1839,"863 Oak Ln, Chicago, USA",4418-3499-5181-2557,Home & Garden,774.04,Credit Card
TXN-10098,2025-12-22,Laura Smith,laura.smith29@yahoo.com,555-653-2375,"626 Oak Ln, Houston, USA",4465-2985-9418-1583,Automotive,40.81,Credit Card
TXN-10099,2025-08-26,David Johnson,david.johnson13@company.net,555-730-8346,"204 Oak Ln, Los Angeles, USA",4130-2156-1067-4799,Sports,745.31,PayPal
TXN-10100,2025-09-15,Laura Brown,laura.brown53@gmail.com,555-232-4537,"150 Oak Ln, Los Angeles, USA",4252-5829-9301-4451,Electronics,1110.07,Bank Transfer
TXN-10101,2025-04-30,Linda Jones,linda.jones16@gmail.com,555-215-1337,"145 Oak Ln, Los Angeles, USA",4974-4216-7001-2148,Fashion,853.06,PayPal
TXN-10102,2025-05-13,John Martinez,john.martinez35@gmail.com,555-603-3064,"114 Cedar Dr, Phoenix, USA",4949-7263-2221-7727,Automotive,1313.71,Credit Card
TXN-10103,2025-10-23,David Garcia,david.garcia16@yahoo.com,555-472-6696,"533 Cedar Dr, Los Angeles, USA",4995-6176-1494-9438,Electronics,731.46,Debit Card
TXN-10104,2025-09-17,John Johnson,john.johnson90@company.net,555-102-7584,"644 Main St, Chicago, USA",4839-2155-8523-1293,Automotive,209.77,Bank Transfer
TXN-10105,2025-05-13,Sarah Williams,sarah.williams88@hotmail.com,555-930-3699,"388 Main St, Chicago, USA",4083-4279-5412-7421,Automotive,1046.32,Bank Transfer
TXN-10106,2025-09-24,Emily Garcia,emily.garcia6@yahoo.com,555-602-1286,"151 Main St, New York, USA",4415-5745-9978-9500,Fashion,1167.04,Bank Transfer
TXN-10107,2025-06-18,Linda Williams,linda.williams27@gmail.com,555-645-1062,"752 Cedar Dr, Los Angeles, USA",4130-5801-6741-2205,Fashion,1062.13,Bank Transfer
TXN-10108,2025-05-23,Robert Brown,robert.brown80@company.net,555-348-8213,"489 Broadway, Los Angeles, USA",4112-7969-1699-2326,Electronics,902.94,Credit Card
TXN-10109,2025-09-26,John Williams,john.williams51@company.net,555-500-2924,"261 Park Ave, Houston, USA",4733-5713-4923-6757,Automotive,1380.61,PayPal
TXN-10110,2026-01-01,Linda Rodriguez,linda.rodriguez85@company.net,555-648-3413,"319 Oak Ln, Houston, USA",4685-4045-7952-8495,Books,429.35,PayPal
TXN-10111,2025-04-06,Robert Jones,robert.jones85@hotmail.com,555-806-8210,"952 Main St, Los Angeles, USA",4431-7437-2860-4121,Books,1173.93,Debit Card
TXN-10112,2025-12-11,Laura Miller,laura.miller25@company.net,555-638-4959,"131 Pine St, New York, USA",4141-2005-9227-5353,Sports,803.28,Debit Card
TXN-10113,2025-06-15,Daniel Martinez,daniel.martinez38@company.net,555-676-1583,"868 Park Ave, Houston, USA",4827-3290-3221-4208,Books,1319.61,Credit Card
TXN-10114,2025-05-21,David Martinez,david.martinez11@yahoo.com,555-720-3794,"437 Park Ave, Houston, USA",4111-7590-9295-6544,Fashion,513.09,Debit Card
TXN-10115,2025-01-15,Emily Rodriguez,emily.rodriguez1@company.net,555-396-5606,"305 Park Ave, Houston, USA",4204-7777-8126-8417,Electronics,878.97,PayPal
TXN-10116,2025-06-08,Robert Jones,robert.jones18@hotmail.com,555-986-2025,"838 Broadway, Phoenix, USA",4151-1530-2874-2663,Home & Garden,1416.73,Bank Transfer
TXN-10117,2025-06-12,Linda Miller,linda.miller23@yahoo.com,555-147-6895,"98 Pine St, Phoenix, USA",4812-3973-9611-3222,Electronics,72.95,Credit Card
TXN-10118,2025-08-01,Emily Garcia,emily.garcia96@gmail.com,555-727-8791,"785 Oak Ln, Houston, USA",4216-6266-8762-5404,Books,1160.4,Credit Card
TXN-10119,2025-07-07,Laura Rodriguez,laura.rodriguez5@company.net,555-461-5515,"966 Cedar Dr, Chicago, USA",4218-5995-3596-6095,Electronics,353.74,Bank Transfer
TXN-10120,2025-05-27,Jane Williams,jane.williams30@gmail.com,555-563-6724,"697 Main St, Houston, USA",4499-3361-2295-2049,Fashion,183.45,Credit Card
TXN-10121,2025-04-18,David Williams,david.williams63@hotmail.com,555-734-7905,"527 Park Ave, New York, USA",4740-9401-3876-9556,Sports,918.87,PayPal
TXN-10122,2025-10-14,Jane Brown,jane.brown62@hotmail.com,555-221-5248,"998 Pine St, Los Angeles, USA",4669-4877-6077-9039,Automotive,1127.85,PayPal
TXN-10123,2025-08-21,Laura Miller,laura.miller9@hotmail.com,555-358-8523,"356 Main St, Chicago, USA",4270-8138-2321-7486,Home & Garden,573.21,Debit Card
TXN-10124,2025-12-06,Laura Garcia,laura.garcia11@gmail.com,555-891-5907,"841 Main St, Houston, USA",4154-2105-3364-9080,Books,275.5,PayPal
TXN-10125,2025-01-04,Robert Jones,robert.jones62@company.net,555-758-4595,"440 Park Ave, Phoenix, USA",4258-8032-8729-1579,Books,682.06,Bank Transfer
TXN-10126,2025-08-05,Jane Rodriguez,jane.rodriguez71@yahoo.com,555-687-2587,"381 Oak Ln, Houston, USA",4515-2124-6158-9069,Fashion,76.55,Credit Card
TXN-10127,2025-12-17,Michael Martinez,michael.martinez61@gmail.com,555-178-4220,"212 Cedar Dr, Los Angeles, USA",4148-6556-1582-3903,Automotive,1283.2,Bank Transfer
TXN-10128,2025-09-02,Jane Smith,jane.smith2@yahoo.com,555-275-7511,"245 Main St, New York, USA",4348-1023-1526-3491,Books,1023.04,PayPal
TXN-10129,2025-04-29,Laura Garcia,laura.garcia50@hotmail.com,555-176-7495,"285 Broadway, Los Angeles, USA",4609-6455-8686-3821,Sports,609.76,Credit Card
TXN-10130,2025-02-13,John Brown,john.brown55@gmail.com,555-328-4452,"150 Cedar Dr, Chicago, USA",4534-8472-6216-9203,Books,551.52,Credit Card
TXN-10131,2025-11-21,Emily Rodriguez,emily.rodriguez9@yahoo.com,555-750-5227,"573 Cedar Dr, New York, USA",4148-1894-5498-3739,Books,1445.99,Debit Card
TXN-10132,2025-01-21,Emily Martinez,emily.martinez34@hotmail.com,555-516-9385,"898 Cedar Dr, New York, USA",4251-7058-7509-8501,Toys & Games,193.16,PayPal
TXN-10133,2025-05-16,David Brown,david.brown91@company.net,555-196-8128,"45 Pine St, New York, USA",4181-7296-5655-3645,Sports,1248.26,Debit Card
TXN-10134,2025-03-30,David Smith,david.smith25@hotmail.com,555-388-2101,"133 Broadway, Chicago, USA",4953-1449-3609-9399,Home & Garden,331.8,PayPal
TXN-10135,2025-03-01,Sarah Smith,sarah.smith36@company.net,555-951-9090,"229 Park Ave, Phoenix, USA",4282-3595-9256-3016,Automotive,1260.48,Credit Card
TXN-10136,2025-03-10,Daniel Martinez,daniel.martinez40@company.net,555-566-5915,"765 Broadway, Los Angeles, USA",4132-5725-4144-3303,Sports,1011.87,Credit Card
TXN-10137,2025-01-03,Laura Smith,laura.smith99@company.net,555-942-9225,"211 Pine St, New York, USA",4241-5169-4473-4636,Books,1114.82,Credit Card
TXN-10138,2025-05-27,Linda Rodriguez,linda.rodriguez32@company.net,555-433-6703,"372 Pine St, Phoenix, USA",4565-6999-7853-9032,Books,1371.11,PayPal
TXN-10139,2025-02-20,Jane Rodriguez,jane.rodriguez48@company.net,555-690-7740,"943 Oak Ln, Houston, USA",4407-9786-7351-6589,Toys & Games,939.67,Bank Transfer
TXN-10140,2025-03-06,John Jones,john.jones53@yahoo.com,555-762-5219,"301 Main St, Houston, USA",4045-9997-5231-7360,Books,1344.87,Bank Transfer
TXN-10141,2025-02-15,Sarah Garcia,sarah.garcia90@gmail.com,555-177-7793,"747 Cedar Dr, Houston, USA",4765-4100-8070-5315,Sports,1311.26,PayPal
TXN-10142,2025-07-06,Linda Garcia,linda.garcia64@company.net,555-878-4162,"376 Main St, Chicago, USA",4482-3716-7053-8527,Sports,624.47,Debit Card
TXN-10143,2025-02-04,David Brown,david.brown93@gmail.com,555-333-2490,"10 Oak Ln, Chicago, USA",4401-9028-2924-5122,Sports,883.03,Debit Card
TXN-10144,2025-02-17,Daniel Davis,daniel.davis79@hotmail.com,555-671-9033,"640 Broadway, Phoenix, USA",4615-7075-1838-9871,Toys & Games,950.41,Bank Transfer
TXN-10145,2025-11-02,David Johnson,david.johnson1@yahoo.com,555-171-1865,"78 Park Ave, Chicago, USA",4462-2684-5769-8214,Toys & Games,387.59,Debit Card
TXN-10146,2025-11-20,Emily Garcia,emily.garcia7@hotmail.com,555-285-5113,"290 Pine St, Los Angeles, USA",4537-5614-9189-3495,Electronics,472.45,Credit Card
TXN-10147,2025-01-27,John Davis,john.davis87@gmail.com,555-769-5412,"658 Oak Ln, Chicago, USA",4587-5489-1836-2893,Home & Garden,199.54,Bank Transfer
TXN-10148,2025-04-18,Laura Johnson,laura.johnson55@hotmail.com,555-970-2535,"356 Oak Ln, Houston, USA",4514-3903-9384-7665,Electronics,29.89,Credit Card
TXN-10149,2025-05-14,David Jones,david.jones71@hotmail.com,555-130-6283,"914 Oak Ln, New York, USA",4426-7776-4278-4243,Automotive,742.23,Bank Transfer
TXN-10150,2025-08-17,Michael Miller,michael.miller77@gmail.com,555-834-5911,"67 Oak Ln, Phoenix, USA",4781-1699-8717-6982,Home & Garden,466.79,Credit Card
TXN-10151,2025-07-05,Robert Davis,robert.davis16@yahoo.com,555-383-1980,"539 Oak Ln, Chicago, USA",4296-8344-3830-7030,Books,467.15,Debit Card
TXN-10152,2025-06-23,Daniel Brown,daniel.brown97@hotmail.com,555-533-9997,"171 Cedar Dr, Los Angeles, USA",4150-5481-8890-7800,Automotive,1279.81,PayPal
TXN-10153,2025-12-08,David Brown,david.brown35@yahoo.com,555-367-5214,"36 Broadway, Houston, USA",4680-9363-6533-7985,Automotive,374.86,Bank Transfer
TXN-10154,2025-04-11,Robert Williams,robert.williams95@hotmail.com,555-926-9703,"413 Park Ave, Phoenix, USA",4085-7401-3233-2505,Books,1443.33,Credit Card
TXN-10155,2025-12-20,Emily Martinez,emily.martinez7@yahoo.com,555-815-4585,"10 Cedar Dr, Los Angeles, USA",4708-3930-4346-7653,Fashion,232.11,PayPal
TXN-10156,2025-05-16,Sarah Brown,sarah.brown30@gmail.com,555-667-1230,"862 Cedar Dr, Houston, USA",4916-5515-7675-4937,Sports,435.71,Bank Transfer
TXN-10157,2025-12-02,Robert Williams,robert.williams3@hotmail.com,555-884-5097,"904 Main St, Houston, USA",4146-5493-7494-4429,Home & Garden,579.23,Bank Transfer
TXN-10158,2025-05-19,John Johnson,john.johnson52@company.net,555-646-7137,"36 Broadway, Los Angeles, USA",4652-6228-6531-7121,Electronics,537.78,PayPal
TXN-10159,2025-11-15,David Smith,david.smith77@company.net,555-659-3238,"146 Main St, Los Angeles, USA",4749-6463-3172-2015,Toys & Games,529.24,Credit Card
TXN-10160,2025-09-10,Emily Johnson,emily.johnson8@yahoo.com,555-833-1104,"37 Pine St, Houston, USA",4385-9303-5780-5579,Sports,1285.41,Bank Transfer
