Transaction_ID,Date,Customer_ID,Customer_Name,Email,Phone_Number,Address,City,Country,Credit_Card,Category,Amount,Payment_Method
TXN-10045,2025-06-20,CUST-2537,Daniel Rodriguez,daniel.rodriguez24@gmail.com,555-212-8429,327 Main St,Los Angeles,USA,4547-3760-9465-8117,Sports,590.92,Credit Card
TXN-10046,2025-05-28,CUST-1827,Daniel Johnson,daniel.johnson85@hotmail.com,555-880-2207,856 Pine St,Chicago,USA,4034-2629-1582-6476,Electronics,199.36,Credit Card
TXN-10047,2025-01-28,CUST-3877,Sarah Miller,sarah.miller39@gmail.com,555-861-2558,665 Pine St,Houston,USA,4760-3922-4140-5688,Sports,1420.52,Bank Transfer
TXN-10048,2025-08-05,CUST-9765,Jane Rodriguez,jane.rodriguez40@yahoo.com,555-857-8064,187 Main St,Phoenix,USA,4122-9372-8129-5747,Sports,517.67,Credit Card
TXN-10049,2025-04-30,CUST-6729,Laura Martinez,laura.martinez36@yahoo.com,555-548-8537,745 Park Ave,Houston,USA,4024-8285-4149-1636,Books,742.5,PayPal
TXN-10050,2025-04-22,CUST-9082,Jane Martinez,jane.martinez47@yahoo.com,555-761-9486,656 Park Ave,Houston,USA,4441-8887-9628-7385,Fashion,1448.78,Bank Transfer
TXN-10051,2025-07-10,CUST-6153,Laura Williams,laura.williams41@gmail.com,555-415-7384,863 Pine St,New York,USA,4288-2403-3086-9508,Electronics,1027.4,Bank Transfer
TXN-10052,2025-08-03,CUST-1144,Linda Martinez,linda.martinez35@gmail.com,555-213-4558,148 Cedar Dr,Phoenix,USA,4976-9007-5317-5087,Sports,631.14,Debit Card
TXN-10053,2025-03-03,CUST-9204,Daniel Williams,daniel.williams62@company.net,555-587-7476,647 Cedar Dr,Phoenix,USA,4076-1738-2851-6712,Home & Garden,552.08,PayPal
TXN-10054,2025-07-06,CUST-3896,Sarah Miller,sarah.miller10@hotmail.com,555-325-5618,644 Main St,Phoenix,USA,4993-7487-1578-3352,Automotive,1150.62,Bank Transfer
TXN-10055,2025-12-23,CUST-8256,Jane Martinez,jane.martinez15@hotmail.com,555-963-1356,965 Main St,Los Angeles,USA,4767-5472-5773-1730,Sports,711.67,Bank Transfer
TXN-10056,2025-12-11,CUST-7204,David Brown,david.brown48@hotmail.com,555-890-6797,679 Pine St,Phoenix,USA,4738-7212-8187-8998,Toys & Games,616.0,Debit Card
TXN-10057,2025-12-16,CUST-7751,Emily Brown,emily.brown18@company.net,555-825-4937,617 Pine St,New York,USA,4015-8086-5608-7176,Automotive,691.3,Credit Card
TXN-10058,2025-03-26,CUST-9374,Michael Brown,michael.brown42@yahoo.com,555-489-5237,810 Park Ave,Phoenix,USA,4487-4633-2446-8343,Automotive,1104.12,Credit Card
TXN-10059,2025-01-09,CUST-1743,Daniel Smith,daniel.smith89@yahoo.com,555-322-9664,568 Park Ave,Phoenix,USA,4522-3619-6527-2579,Automotive,1141.57,Credit Card
TXN-10060,2025-07-17,CUST-5112,David Jones,david.jones78@yahoo.com,555-353-4971,498 Cedar Dr,Phoenix,USA,4414-4434-7614-6979,Automotive,384.1,Credit Card
TXN-10061,2025-07-17,CUST-5857,Linda Johnson,linda.johnson10@hotmail.com,555-850-3694,90 Broadway,Chicago,USA,4518-2107-7973-7741,Electronics,447.35,Bank Transfer
TXN-10062,2025-10-11,CUST-3775,Robert Miller,robert.miller20@yahoo.com,555-585-9135,402 Cedar Dr,New York,USA,4022-2570-5903-5101,Sports,902.63,PayPal
TXN-10063,2025-07-04,CUST-6820,Robert Rodriguez,robert.rodriguez41@yahoo.com,555-816-7792,80 Pine St,Phoenix,USA,4398-6429-3060-7926,Books,544.65,Debit Card
TXN-10064,2025-06-05,CUST-9204,Daniel Williams,daniel.williams62@company.net,555-587-7476,647 Cedar Dr,Phoenix,USA,4076-1738-2851-6712,Automotive,215.78,PayPal
TXN-10065,2025-10-04,CUST-7751,Emily Brown,emily.brown18@company.net,555-825-4937,617 Pine St,New York,USA,4015-8086-5608-7176,Toys & Games,914.43,Bank Transfer
TXN-10066,2025-08-26,CUST-7204,David Brown,david.brown48@hotmail.com,555-890-6797,679 Pine St,Phoenix,USA,4738-7212-8187-8998,Fashion,1201.87,Debit Card
TXN-10067,2025-08-21,CUST-7204,David Brown,david.brown48@hotmail.com,555-890-6797,679 Pine St,Phoenix,USA,4738-7212-8187-8998,Books,310.23,PayPal
TXN-10068,2025-05-09,CUST-2004,Sarah Martinez,sarah.martinez81@hotmail.com,555-353-4570,642 Broadway,Chicago,USA,4942-3108-1414-6373,Toys & Games,1167.09,Debit Card
TXN-10069,2025-02-19,CUST-4590,Robert Williams,robert.williams55@company.net,555-898-5209,989 Cedar Dr,New York,USA,4137-5338-4402-7571,Home & Garden,617.45,Debit Card
TXN-10070,2025-03-16,CUST-2379,Linda Miller,linda.miller67@gmail.com,555-385-4637,999 Park Ave,New York,USA,4474-4987-6928-3146,Automotive,750.41,PayPal
TXN-10071,2025-02-21,CUST-3176,Emily Smith,emily.smith48@gmail.com,555-959-3346,632 Oak Ln,Chicago,USA,4355-9350-8818-1254,Toys & Games,642.63,PayPal
TXN-10072,2025-08-31,CUST-3896,Sarah Miller,sarah.miller10@hotmail.com,555-325-5618,644 Main St,Phoenix,USA,4993-7487-1578-3352,Fashion,676.46,PayPal
TXN-10073,2025-09-14,CUST-9082,Jane Martinez,jane.martinez47@yahoo.com,555-761-9486,656 Park Ave,Houston,USA,4441-8887-9628-7385,Sports,1454.19,PayPal
TXN-10074,2025-01-22,CUST-7905,David Rodriguez,david.rodriguez59@hotmail.com,555-604-5400,786 Oak Ln,Los Angeles,USA,4518-4993-6085-5075,Books,1334.36,Credit Card
TXN-10075,2025-04-24,CUST-9204,Daniel Williams,daniel.williams62@company.net,555-587-7476,647 Cedar Dr,Phoenix,USA,4076-1738-2851-6712,Fashion,1478.73,PayPal
TXN-10076,2025-02-21,CUST-3176,Emily Smith,emily.smith48@gmail.com,555-959-3346,632 Oak Ln,Chicago,USA,4355-9350-8818-1254,Electronics,331.7,Credit Card
TXN-10077,2025-08-19,CUST-6820,Robert Rodriguez,robert.rodriguez41@yahoo.com,555-816-7792,80 Pine St,Phoenix,USA,4398-6429-3060-7926,Books,1108.21,Debit Card
TXN-10078,2025-03-17,CUST-1879,Robert Smith,robert.smith55@gmail.com,555-377-8972,544 Cedar Dr,Houston,USA,4853-3074-8367-7590,Fashion,194.57,Debit Card
TXN-10079,2025-12-21,CUST-5112,David Jones,david.jones78@yahoo.com,555-353-4971,498 Cedar Dr,Phoenix,USA,4414-4434-7614-6979,Automotive,408.91,Bank Transfer
TXN-10080,2025-09-12,CUST-7905,David Rodriguez,david.rodriguez59@hotmail.com,555-604-5400,786 Oak Ln,Los Angeles,USA,4518-4993-6085-5075,Automotive,1170.14,Bank Transfer
TXN-10081,2025-12-24,CUST-3516,Robert Garcia,robert.garcia68@gmail.com,555-714-6645,332 Pine St,Los Angeles,USA,4309-5576-6667-5309,Fashion,122.57,Bank Transfer
TXN-10082,2025-09-21,CUST-7204,David Brown,david.brown48@hotmail.com,555-890-6797,679 Pine St,Phoenix,USA,4738-7212-8187-8998,Books,1175.06,PayPal
TXN-10083,2025-10-16,CUST-3176,Emily Smith,emily.smith48@gmail.com,555-959-3346,632 Oak Ln,Chicago,USA,4355-9350-8818-1254,Home & Garden,717.35,Credit Card
TXN-10084,2025-04-06,CUST-1123,Robert Miller,robert.miller8@gmail.com,555-833-9623,929 Oak Ln,New York,USA,4521-4705-9069-3951,Fashion,299.96,PayPal
TXN-10085,2025-01-06,CUST-7015,Sarah Martinez,sarah.martinez94@company.net,555-569-1401,534 Cedar Dr,Houston,USA,4326-2837-4027-5568,Fashion,1130.36,Bank Transfer
TXN-10086,2025-04-11,CUST-9374,Michael Brown,michael.brown42@yahoo.com,555-489-5237,810 Park Ave,Phoenix,USA,4487-4633-2446-8343,Toys & Games,1125.76,Debit Card
TXN-10087,2025-08-29,CUST-4904,Robert Miller,robert.miller85@yahoo.com,555-864-4570,746 Park Ave,New York,USA,4336-9934-7732-4099,Automotive,746.82,Debit Card
TXN-10088,2025-08-12,CUST-6729,Laura Martinez,laura.martinez36@yahoo.com,555-548-8537,745 Park Ave,Houston,USA,4024-8285-4149-1636,Books,1444.91,PayPal
TXN-10089,2025-06-25,CUST-6270,Linda Smith,linda.smith34@hotmail.com,555-810-2595,258 Broadway,New York,USA,4420-7055-5426-4578,Fashion,256.07,Credit Card
TXN-10090,2025-04-02,CUST-5820,Sarah Davis,sarah.davis94@company.net,555-780-2894,885 Broadway,New York,USA,4780-2146-7646-8437,Toys & Games,389.89,Bank Transfer
TXN-10091,2025-01-12,CUST-5427,Sarah Rodriguez,sarah.rodriguez61@hotmail.com,555-498-8736,155 Cedar Dr,Los Angeles,USA,4811-9841-3531-9520,Automotive,618.41,Credit Card
TXN-10092,2025-05-05,CUST-7751,Emily Brown,emily.brown18@company.net,555-825-4937,617 Pine St,New York,USA,4015-8086-5608-7176,Toys & Games,722.24,Credit Card
TXN-10093,2025-05-29,CUST-7751,Emily Brown,emily.brown18@company.net,555-825-4937,617 Pine St,New York,USA,4015-8086-5608-7176,Electronics,456.77,Bank Transfer
TXN-10094,2025-12-10,CUST-3176,Emily Smith,emily.smith48@gmail.com,555-959-3346,632 Oak Ln,Chicago,USA,4355-9350-8818-1254,Electronics,614.36,Debit Card
TXN-10095,2025-05-04,CUST-6820,Robert Rodriguez,robert.rodriguez41@yahoo.com,555-816-7792,80 Pine St,Phoenix,USA,4398-6429-3060-7926,Home & Garden,1164.38,Bank Transfer
TXN-10096,2025-04-22,CUST-3176,Emily Smith,emily.smith48@gmail.com,555-959-3346,632 Oak Ln,Chicago,USA,4355-9350-8818-1254,Electronics,948.68,PayPal
TXN-10097,2025-06-07,CUST-7015,Sarah Martinez,sarah.martinez94@company.net,555-569-1401,534 Cedar Dr,Houston,USA,4326-2837-4027-5568,Sports,98.97,Bank Transfer
TXN-10098,2025-03-07,CUST-8565,Laura Martinez,laura.martinez27@gmail.com,555-778-1882,60 Oak Ln,Houston,USA,4304-8076-8745-8044,Books,70.64,Credit Card
TXN-10099,2025-04-17,CUST-4918,Laura Johnson,laura.johnson50@yahoo.com,555-835-1313,322 Oak Ln,New York,USA,4143-9439-8179-7834,Home & Garden,627.57,Debit Card
TXN-10100,2025-03-31,CUST-8565,Laura Martinez,laura.martinez27@gmail.com,555-778-1882,60 Oak Ln,Houston,USA,4304-8076-8745-8044,Toys & Games,379.38,Debit Card
TXN-10101,2025-02-20,CUST-3516,Robert Garcia,robert.garcia68@gmail.com,555-714-6645,332 Pine St,Los Angeles,USA,4309-5576-6667-5309,Automotive,1363.05,Debit Card
TXN-10102,2025-03-20,CUST-9765,Jane Rodriguez,jane.rodriguez40@yahoo.com,555-857-8064,187 Main St,Phoenix,USA,4122-9372-8129-5747,Home & Garden,828.55,Bank Transfer
TXN-10103,2025-01-28,CUST-2422,Sarah Smith,sarah.smith67@company.net,555-804-6929,765 Broadway,Los Angeles,USA,4670-7912-2994-8789,Automotive,1120.91,Debit Card
TXN-10104,2025-02-24,CUST-7751,Emily Brown,emily.brown18@company.net,555-825-4937,617 Pine St,New York,USA,4015-8086-5608-7176,Electronics,892.36,Debit Card
TXN-10105,2025-10-22,CUST-7015,Sarah Martinez,sarah.martinez94@company.net,555-569-1401,534 Cedar Dr,Houston,USA,4326-2837-4027-5568,Sports,34.79,Bank Transfer
TXN-10106,2025-11-14,CUST-9765,Jane Rodriguez,jane.rodriguez40@yahoo.com,555-857-8064,187 Main St,Phoenix,USA,4122-9372-8129-5747,Sports,634.35,Credit Card
TXN-10107,2025-05-10,CUST-4094,Emily Jones,emily.jones27@yahoo.com,555-600-7651,141 Cedar Dr,Chicago,USA,4888-1939-4182-9918,Fashion,715.69,Credit Card
TXN-10108,2025-03-29,CUST-4186,Jane Davis,jane.davis70@company.net,555-379-6884,127 Broadway,Chicago,USA,4772-8175-8363-9031,Books,208.0,PayPal
TXN-10109,2025-05-23,CUST-9374,Michael Brown,michael.brown42@yahoo.com,555-489-5237,810 Park Ave,Phoenix,USA,4487-4633-2446-8343,Automotive,229.86,Credit Card
TXN-10110,2025-10-15,CUST-1743,Daniel Smith,daniel.smith89@yahoo.com,555-322-9664,568 Park Ave,Phoenix,USA,4522-3619-6527-2579,Electronics,1466.64,Debit Card
TXN-10111,2025-08-03,CUST-7204,David Brown,david.brown48@hotmail.com,555-890-6797,679 Pine St,Phoenix,USA,4738-7212-8187-8998,Toys & Games,1227.97,Debit Card
TXN-10112,2025-04-08,CUST-3877,Sarah Miller,sarah.miller39@gmail.com,555-861-2558,665 Pine St,Houston,USA,4760-3922-4140-5688,Sports,312.47,Debit Card
TXN-10113,2025-03-30,CUST-9374,Michael Brown,michael.brown42@yahoo.com,555-489-5237,810 Park Ave,Phoenix,USA,4487-4633-2446-8343,Electronics,552.99,Debit Card
TXN-10114,2025-02-04,CUST-5857,Linda Johnson,linda.johnson10@hotmail.com,555-850-3694,90 Broadway,Chicago,USA,4518-2107-7973-7741,Sports,550.93,Bank Transfer
TXN-10115,2025-12-03,CUST-3775,Robert Miller,robert.miller20@yahoo.com,555-585-9135,402 Cedar Dr,New York,USA,4022-2570-5903-5101,Electronics,59.88,Bank Transfer
TXN-10116,2025-09-13,CUST-5820,Sarah Davis,sarah.davis94@company.net,555-780-2894,885 Broadway,New York,USA,4780-2146-7646-8437,Automotive,850.36,Bank Transfer
TXN-10117,2025-03-27,CUST-3775,Robert Miller,robert.miller20@yahoo.com,555-585-9135,402 Cedar Dr,New York,USA,4022-2570-5903-5101,Toys & Games,280.87,Bank Transfer
TXN-10118,2025-02-17,CUST-3803,John Johnson,john.johnson19@hotmail.com,555-891-2554,640 Park Ave,Houston,USA,4931-4173-3964-8175,Fashion,761.15,Credit Card
TXN-10119,2025-04-08,CUST-5112,David Jones,david.jones78@yahoo.com,555-353-4971,498 Cedar Dr,Phoenix,USA,4414-4434-7614-6979,Books,1003.26,Bank Transfer
TXN-10120,2025-07-26,CUST-2379,Linda Miller,linda.miller67@gmail.com,555-385-4637,999 Park Ave,New York,USA,4474-4987-6928-3146,Home & Garden,1280.91,Credit Card
TXN-10121,2025-12-08,CUST-8256,Jane Martinez,jane.martinez15@hotmail.com,555-963-1356,965 Main St,Los Angeles,USA,4767-5472-5773-1730,Automotive,466.52,PayPal
TXN-10122,2025-12-29,CUST-8521,Laura Brown,laura.brown49@yahoo.com,555-138-2498,64 Oak Ln,New York,USA,4607-4650-7562-2638,Sports,122.18,Debit Card
TXN-10123,2025-08-13,CUST-1879,Robert Smith,robert.smith55@gmail.com,555-377-8972,544 Cedar Dr,Houston,USA,4853-3074-8367-7590,Sports,1267.95,PayPal
TXN-10124,2025-04-06,CUST-3775,Robert Miller,robert.miller20@yahoo.com,555-585-9135,402 Cedar Dr,New York,USA,4022-2570-5903-5101,Electronics,285.12,PayPal
TXN-10125,2025-10-20,CUST-5427,Sarah Rodriguez,sarah.rodriguez61@hotmail.com,555-498-8736,155 Cedar Dr,Los Angeles,USA,4811-9841-3531-9520,Sports,737.08,Bank Transfer
TXN-10126,2025-02-23,CUST-7751,Emily Brown,emily.brown18@company.net,555-825-4937,617 Pine St,New York,USA,4015-8086-5608-7176,Automotive,1400.11,Debit Card
TXN-10127,2025-12-26,CUST-5857,Linda Johnson,linda.johnson10@hotmail.com,555-850-3694,90 Broadway,Chicago,USA,4518-2107-7973-7741,Home & Garden,215.34,Credit Card
TXN-10128,2025-05-24,CUST-8256,Jane Martinez,jane.martinez15@hotmail.com,555-963-1356,965 Main St,Los Angeles,USA,4767-5472-5773-1730,Fashion,1216.61,Bank Transfer
TXN-10129,2025-05-05,CUST-7262,David Brown,david.brown17@company.net,555-127-2169,344 Broadway,Chicago,USA,4241-2445-6845-2022,Automotive,466.5,Bank Transfer
TXN-10130,2025-10-16,CUST-8086,Sarah Williams,sarah.williams26@hotmail.com,555-473-5644,82 Broadway,New York,USA,4709-8390-6661-7160,Toys & Games,746.26,Credit Card
TXN-10131,2025-06-04,CUST-2379,Linda Miller,linda.miller67@gmail.com,555-385-4637,999 Park Ave,New York,USA,4474-4987-6928-3146,Fashion,414.28,Credit Card
TXN-10132,2025-07-23,CUST-9082,Jane Martinez,jane.martinez47@yahoo.com,555-761-9486,656 Park Ave,Houston,USA,4441-8887-9628-7385,Home & Garden,1158.54,PayPal
TXN-10133,2025-09-12,CUST-4590,Robert Williams,robert.williams55@company.net,555-898-5209,989 Cedar Dr,New York,USA,4137-5338-4402-7571,Automotive,367.18,Debit Card
TXN-10134,2025-05-07,CUST-1743,Daniel Smith,daniel.smith89@yahoo.com,555-322-9664,568 Park Ave,Phoenix,USA,4522-3619-6527-2579,Sports,237.31,Debit Card
TXN-10135,2025-10-21,CUST-9765,Jane Rodriguez,jane.rodriguez40@yahoo.com,555-857-8064,187 Main St,Phoenix,USA,4122-9372-8129-5747,Toys & Games,821.76,PayPal
TXN-10136,2025-01-17,CUST-6153,Laura Williams,laura.williams41@gmail.com,555-415-7384,863 Pine St,New York,USA,4288-2403-3086-9508,Home & Garden,1351.01,Debit Card
TXN-10137,2025-04-14,CUST-3775,Robert Miller,robert.miller20@yahoo.com,555-585-9135,402 Cedar Dr,New York,USA,4022-2570-5903-5101,Toys & Games,1145.37,Credit Card
TXN-10138,2025-02-15,CUST-7876,John Williams,john.williams64@yahoo.com,555-391-8231,15 Cedar Dr,Chicago,USA,4245-6101-3294-7226,Automotive,124.65,Bank Transfer
TXN-10139,2025-11-09,CUST-2787,Robert Miller,robert.miller28@yahoo.com,555-822-2404,791 Oak Ln,Los Angeles,USA,4634-4451-7014-4935,Toys & Games,389.57,PayPal
TXN-10140,2025-09-24,CUST-8253,Jane Garcia,jane.garcia51@yahoo.com,555-722-4597,599 Oak Ln,Chicago,USA,4670-1453-2624-9125,Toys & Games,681.51,PayPal
TXN-10141,2025-10-16,CUST-6820,Robert Rodriguez,robert.rodriguez41@yahoo.com,555-816-7792,80 Pine St,Phoenix,USA,4398-6429-3060-7926,Fashion,699.87,PayPal
TXN-10142,2025-01-28,CUST-5857,Linda Johnson,linda.johnson10@hotmail.com,555-850-3694,90 Broadway,Chicago,USA,4518-2107-7973-7741,Automotive,884.34,Bank Transfer
TXN-10143,2025-09-15,CUST-9204,Daniel Williams,daniel.williams62@company.net,555-587-7476,647 Cedar Dr,Phoenix,USA,4076-1738-2851-6712,Sports,1285.29,Debit Card
TXN-10144,2025-10-23,CUST-4122,Laura Williams,laura.williams62@gmail.com,555-473-2799,421 Park Ave,Houston,USA,4775-6804-1347-9243,Sports,355.32,Credit Card
TXN-10145,2025-04-30,CUST-9204,Daniel Williams,daniel.williams62@company.net,555-587-7476,647 Cedar Dr,Phoenix,USA,4076-1738-2851-6712,Electronics,1128.98,PayPal
TXN-10146,2025-08-06,CUST-2004,Sarah Martinez,sarah.martinez81@hotmail.com,555-353-4570,642 Broadway,Chicago,USA,4942-3108-1414-6373,Fashion,408.3,Bank Transfer
TXN-10147,2025-04-21,CUST-1879,Robert Smith,robert.smith55@gmail.com,555-377-8972,544 Cedar Dr,Houston,USA,4853-3074-8367-7590,Automotive,681.23,Bank Transfer
